pm25,pm10,o3,co,no2,so2
22.0,60.0,66.0,0.51,13.0,2.0
28.0,72.0,63.0,0.51,15.0,2.0
24.0,70.0,60.0,0.52,16.0,2.0
25.0,63.0,54.0,0.53,20.0,2.0
26.0,61.0,40.0,0.61,27.0,2.0
28.0,72.0,29.0,0.64,31.0,2.0
39.0,80.0,30.0,0.61,30.0,2.0
36.0,77.0,34.0,0.57,25.0,2.0
39.0,81.0,36.0,0.55,24.0,3.0
36.0,82.0,38.0,0.53,21.0,3.0
37.0,81.0,37.0,0.48,20.0,2.0
36.0,73.0,37.0,0.5,18.0,2.5
40.0,68.0,36.5,0.52,16.0,3.0
40.0,75.0,36.0,0.49,15.0,3.0
41.0,69.0,33.0,0.46,15.0,3.0
29.0,65.0,28.0,0.43,18.0,2.0
19.0,53.0,25.0,0.43,20.0,2.0
23.0,49.0,26.0,0.45,20.0,3.0
21.0,53.0,29.0,0.45,19.0,2.0
26.0,57.0,31.0,0.47,19.0,2.0
24.0,61.0,36.0,0.48,17.0,2.0
28.0,60.0,38.0,0.49,18.0,2.0
26.0,59.0,45.0,0.48,16.0,2.0
26.0,61.0,48.0,0.47,15.0,2.0
24.0,66.0,48.0,0.45,17.0,3.0
25.0,61.0,50.0,0.47,18.0,3.0
26.0,62.0,51.0,0.49,17.0,2.0
24.0,60.0,44.0,0.52,20.0,2.0
27.0,68.0,35.0,0.55,25.0,2.0
27.0,58.0,31.0,0.54,27.0,2.0
31.0,60.0,32.0,0.54,22.0,2.0
35.0,62.0,33.0,0.52,21.0,2.0
37.0,65.0,27.0,0.51,23.0,3.0
30.0,70.0,29.0,0.49,23.0,3.0
